,model,Psi,ECS
0,ACCESS1-0,0.2,3.83
1,ACCESS1-3,0.15,3.53
2,BNU-ESM,0.14,3.92
3,CCSM4,0.18,2.94
4,CNRM-CM5,0.15,3.25
5,CSIRO-Mk3-6-0,0.20,4.08
6,CanESM2,0.16,3.69
7,FGOALS-g2,0.05,3.38
8,GFDL-CM3,0.32,3.97
9,GFDL-ESM2G,0.19,2.39
10,GFDL-ESM2M,0.15,2.44
11,GISS-E2-H,0.10,2.31
12,GISS-E2-R,0.11,2.11
13,HadGEM2-ES,0.26,4.61
14,IPSL-CM5A-LR,0.21,4.13
15,IPSL-CM5A-MR,0.15,4.12
16,IPSL-CM5B-LR,0.16,2.60
17,MIROC-ESM,0.22,4.67
18,MIROC5,0.22,2.72
19,MPI-ESM-LR,0.15,3.63
20,MPI-ESM-MR,0.16,3.46
21,MRI-CGCM3,0.09,2.60
22,NorESM1-M,0.13,2.80
23,bcc-csm1-1,0.18,2.83
24,bcc-csm1-1-m,0.13,2.86
25,inmcm4,0.07,2.08
