Sigma,ECS
0.12328538276727652,3.13
0.1298022670265282,2.37
0.12874036336577763,2.98
0.11714617281364993,3.12
0.13760415473631965,5.44
0.15142843356434293,3.03
0.12044116579677311,3.03
0.1425591411753414,3.16
0.2114829367445986,3.55
0.16327535992956999,4.8
0.2021039840487253,2.56
0.12646223076271465,2.68
0.12843192337582962,3.25
0.1329606620053276,2.29
0.23592794114113722,3.58
0.16992408899125958,5.16
0.17851207104177463,2.95
0.15720437023711328,3.02
0.14734407939242078,3.88
0.13911556096997554,5.15
0.12960384552925763,3.72
0.17527529991802143,2.71
0.19504182873878903,2.49
0.14293460368786765,4.76
0.13314186876631592,2.43
0.13958042664831335,2.6
0.11317016126044122,2.87
0.12154146655703121,4.66
0.17129747792179476,4.68
0.14667143409511585,5.64
0.11391366273835954,4.36
0.14212576387681505,5.55
