,model,generation,cox,rv_cox,nijsse,rv_nijsse,ecs
0,bcc-csm1-1,CMIP5,0.10807931749109916,0.10381524117993705,0.14372641837582456,0.14133491196846418,2.82
1,CCSM4,CMIP5,0.22965009831025113,0.20551160311160796,0.30048532251799065,0.27360269992817227,2.94
2,CSIRO-Mk3L,CMIP5,0.21507725597349225,0.11883344973406156,0.25733238597704633,0.1578319045970602,3.85
3,FGOALS-gl,CMIP5,0.08542961087660249,0.08577730456013603,0.11846661296197042,0.12467787322077169,1.2
4,GISS-E2-R,CMIP5,0.2016469055582026,0.15862017713931406,0.24773404065590082,0.192845318116283,2.12
5,HadCM3,CMIP5,0.21045464179631984,0.15868803622004843,0.28496565612571756,0.23168454540180283,3.3
6,IPSL-CM5A-LR,CMIP5,0.19642973898814275,0.18375083089899283,0.2650139671990795,0.24985326274145123,4.13
7,MIROC-ES2L,CMIP6,0.2108638969102901,0.16240891478863959,0.2711561924977103,0.18596289342373598,2.66
8,MPI-ESM-P,CMIP5,0.22998280716344835,0.15762337389573203,0.3267842814197723,0.2398845869114967,3.46
9,MRI-CGCM3,CMIP5,0.11385625067692057,0.104596764553086,0.16669655951152573,0.15158862935974662,2.61
10,MRI-ESM2-0,CMIP6,0.20183542113299965,0.1449818677208877,0.28511865455408436,0.19626024979169882,3.13
11,CESM1-LME,na,0.1907056818468824,0.1783991710776827,0.22487927765640692,0.21349701467274554,4.1
12,CESM2,CMIP6,0.29525200550538105,0.20849334754779258,0.39595498157860576,0.2738117226566207,5.15
13,MPI-ESM1-2-LR,CMIP6,0.21758688875202456,0.21525102315483305,0.2699079568027511,0.2680615273797221,3.03
14,EC-Earth3-Veg-LR,CMIP6,0.23208564777377502,0.17790754842191653,0.2863267700862567,0.216048048040013,4.23
15,MIROC-ESM,CMIP5,0.28681439052719104,0.24059030734797485,0.4000947446199781,0.31910040768845904,4.65
16,INM-CM4-8,CMIP6,0.25710479316610996,0.1073829768041711,0.3979618945751878,0.18860069084628542,1.83
17,ACCESS-ESM1-5,CMIP6,0.11822451256458084,0.11791629493017672,0.1644616483295745,0.1633210898005114,3.88
