,model,ecs
0,ACCESS1-0,3.83
1,ACCESS1-3,3.53
2,BNU-ESM,3.92
3,CCSM4,2.94
4,CNRM-CM5,3.25
5,CNRM-CM5-2,3.44
6,CSIRO-Mk3-6-0,4.08
7,CanESM2,3.69
8,FGOALS-g2,3.38
9,GFDL-CM3,3.97
10,GFDL-ESM2G,2.39
11,GFDL-ESM2M,2.44
12,GISS-E2-H,2.31
13,GISS-E2-R,2.11
14,HadGEM2-ES,4.61
15,IPSL-CM5A-LR,4.13
16,IPSL-CM5A-MR,4.12
17,IPSL-CM5B-LR,2.6
18,MIROC-ESM,4.67
19,MIROC5,2.72
20,MPI-ESM-LR,3.63
21,MPI-ESM-MR,3.46
22,MPI-ESM-P,3.45
23,MRI-CGCM3,2.6
24,NorESM1-M,2.8
25,bcc-csm1-1,2.83
26,bcc-csm1-1-m,2.86
27,inmcm4,2.08
28,ACCESS-CM2,4.72
29,ACCESS-ESM1-5,3.87
30,AWI-CM-1-1-MR,3.16
31,BCC-CSM2-MR,3.04
32,BCC-ESM1,3.26
33,CAMS-CSM1-0,2.29
34,CAS-ESM2-0,3.51
35,CESM2,5.16
36,CESM2-FV2,5.14
37,CESM2-WACCM,4.75
38,CESM2-WACCM-FV2,4.79
39,CMCC-CM2-SR5,3.52
40,CNRM-CM6-1,4.83
41,CNRM-CM6-1-HR,4.28
42,CNRM-ESM2-1,4.76
43,CanESM5,5.62
44,E3SM-1-0,5.32
45,EC-Earth3-Veg,4.31
46,FGOALS-f3-L,3.0
47,FGOALS-g3,2.88
48,GISS-E2-1-G,2.72
49,GISS-E2-1-H,3.11
50,HadGEM3-GC31-LL,5.55
51,HadGEM3-GC31-MM,5.42
52,INM-CM4-8,1.83
53,INM-CM5-0,1.92
54,IPSL-CM6A-LR,4.56
55,KACE-1-0-G,4.48
56,MCM-UA-1-0,3.65
57,MIROC-ES2L,2.68
58,MIROC6,2.61
59,MPI-ESM-1-2-HAM,2.96
60,MPI-ESM1-2-HR,2.98
61,MPI-ESM1-2-LR,3.0
62,MRI-ESM2-0,3.15
63,NESM3,4.72
64,NorCPM1,3.05
65,NorESM2-LM,2.54
66,NorESM2-MM,2.5
67,SAM0-UNICON,3.72
68,TaiESM1,4.31
69,UKESM1-0-LL,5.34
