,year,bcc-csm1-1,CCSM4,CSIRO-Mk3L,FGOALS-gl,GISS-E2-R,HadCM3,IPSL-CM5A-LR,MIROC-ES2L,MPI-ESM-P,MRI-CGCM3,MRI-ESM2-0,CESM1-LME,CESM2,MPI-ESM1-2-LR,EC-Earth3-Veg-LR,MIROC-ESM,INM-CM4-8
0,850,286.6461159,284.9174517,287.1775893,,287.9272318,286.1320737,285.3276955,288.07504,286.8509005,286.7088768,287.0380685,286.5425546,284.7410997,286.2615725,286.8307334,287.7515556,286.5288086
1,851,286.6424892,284.9166777,287.1700785,,287.9575078,286.1437452,285.0419397,288.19342,286.8060377,286.5587931,287.1370235,286.6463644,284.5177917,286.3844323,286.9673412,287.5258868,286.5054932
2,852,286.6896507,284.9819803,287.2227806,,287.9333736,286.1902229,284.8958098,287.99487,286.6515413,286.6855401,287.1037351,286.6384754,284.8431534,286.4765839,286.8299132,287.8546883,286.5646057
3,853,286.5767503,284.8620905,287.1600454,,287.8979304,286.2523934,284.9395784,287.718,286.7080485,286.7038625,286.9497325,286.5668859,284.7020365,286.4005849,286.8464961,287.7120795,286.4319458
4,854,286.5493585,284.6507721,286.9454249,,287.5108154,286.0078142,285.0412904,287.71164,286.5153525,286.6086292,287.2775851,286.6033869,284.3743038,286.4469354,286.8897886,287.3808818,286.4312744
5,855,286.6187305,284.6571949,287.0603858,,287.4742274,285.8838788,284.997089,287.93027,286.2640321,286.6769996,287.0126632,286.233603,284.5924152,286.4626872,286.8430719,287.6012992,286.4393921
6,856,286.5700217,284.8324678,287.0380841,,287.4899571,286.2224345,284.780849,288.13635,286.4062117,286.7718289,287.2626225,286.1758525,284.7197855,286.305682,287.0246868,287.7300161,286.4976196
7,857,286.7355055,284.678595,287.033852,,287.7427366,286.3588377,284.9640299,288.16476,286.5832805,286.7579352,287.4147499,286.2317763,284.6009369,286.2711304,287.0526096,287.609911,286.4627991
8,858,286.6562001,284.7646099,287.0062194,,287.7348196,286.2513559,285.1045687,287.95374,286.4883868,286.7625616,287.2293877,286.2752428,284.5866162,286.5121005,286.9103287,287.5954389,286.5687866
9,859,286.6496586,284.8223488,287.1610499,,287.8906371,286.194739,285.187674,287.91528,286.5323069,286.8560513,286.9949532,286.5741121,284.5531441,286.2796576,286.8994503,287.5616129,286.5283813
10,860,286.6288008,284.9590276,287.243708,,287.8576789,286.2906995,285.0224678,288.1983,286.6171677,286.8681987,286.9802078,286.5514461,284.2320241,286.3361128,286.768304,287.2370978,286.4571228
11,861,286.63782,284.8759787,287.2476442,,287.7419317,286.2424167,284.9384603,288.2125,286.5588487,286.7675744,287.2567956,286.3102265,284.3492761,286.4012422,286.9675383,287.3555895,286.4516907
12,862,286.6442195,285.0852813,287.0511965,,287.6961025,286.3362587,284.9692486,287.9203,286.5165968,286.770914,287.105449,286.2467321,284.6088653,286.3985096,286.8719328,287.6179232,286.3948059
13,863,286.6749431,284.9601866,287.0944686,,287.8356566,286.4064206,285.0774697,287.94705,286.6196379,286.8788315,287.2382214,286.4448445,284.5947478,286.3729229,286.7863954,287.6036564,286.4927979
14,864,286.793536,284.6741601,287.0750917,,287.8406082,286.4607861,285.3229221,288.10614,286.67639,286.9417336,287.2549426,286.4736767,284.539689,286.312054,286.9900122,287.5480155,286.5378113
15,865,286.656122,284.7359822,287.0219093,,287.8408887,286.3661156,285.1103025,288.297,286.7616833,286.8765756,287.0738558,286.3904434,284.6319491,286.4130535,286.9847267,287.6412511,286.4754639
16,866,286.5436744,284.7215727,287.0503896,,287.8434929,286.2698926,285.017684,288.1194,286.6302206,286.7934902,287.1916299,286.3011908,284.7277421,286.4129944,287.0947784,287.7380568,286.500824
